Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDG60,OUT045,3144.9110406735385
FDM60,OUT019,-64.90090955488245
FDT12,OUT035,5447.473182254232
FDL12,OUT045,1127.5707661747783
FDY59,OUT017,2356.934225524393
FDW23,OUT027,804.3175393799165
FDX12,OUT017,6649.455357593658
FDQ60,OUT035,2660.2698539038124
FDQ60,OUT027,1799.949879531795
FDW24,OUT018,272.10234739599514
FDF12,OUT035,2139.6127853293438
FDM12,OUT045,1421.001874996361
FDK48,OUT013,961.6108822203837
FDV12,OUT010,292.0574132845452
FDH24,OUT013,3658.3901060049284
FDX24,OUT049,1617.7967530480282
FDT48,OUT045,4231.606873960741
FDR24,OUT046,1740.7624700079443
FDW60,OUT035,3233.9081420574407
FDG60,OUT010,653.6745051471871
FDJ12,OUT035,5082.544912557733
FDX12,OUT013,3765.564068400129
FDV48,OUT035,1728.4105924723078
FDI36,OUT049,2976.1812901257836
FDD36,OUT045,1391.8010556289619
FDR12,OUT010,-3.170185287580125
FDY60,OUT018,2373.527431254743
FDT60,OUT013,2800.6073741777445
FDV36,OUT019,425.94153790850555
FDC37,OUT010,193.9770687352161
FDJ60,OUT027,4786.055683989852
FDE36,OUT010,786.9899476309517
FDV12,OUT027,2948.7451562031247
FDW12,OUT018,2572.2003548486023
FDK36,OUT045,1117.9257184118408
FDW60,OUT046,3317.589105178413
FDN24,OUT035,889.1964013760016
FDQ60,OUT017,2516.698333545488
FDT36,OUT017,437.51977728791644
FDZ36,OUT019,-204.03672335595343
FDM24,OUT010,281.018940653084
FDI48,OUT045,549.2941673634343
FDS24,OUT017,1275.3669622887587
FDQ48,OUT045,1483.8770003861052
FDV36,OUT013,1981.4419089435828
FDK48,OUT010,421.5665069369561
FDR48,OUT046,2198.301328275518
FDX11,OUT027,5928.897010045472
FDK48,OUT018,1905.9019209929136
FDY11,OUT045,1002.8008211915594
FDR12,OUT046,3774.956200856477
FDG60,OUT018,3324.5009582542675
FDO12,OUT027,5025.073674449596
FDC37,OUT046,2203.1607953771454
FDU60,OUT027,4758.313432397602
FDX36,OUT027,5101.563701283159
FDJ36,OUT018,1128.2975563255338
FDA23,OUT018,1299.574952761349
FDS60,OUT017,4704.996469366678
FDE24,OUT013,3052.268841194325
FDR36,OUT027,696.785232921467
FDV60,OUT046,3373.166681033914
FDH60,OUT018,2456.698488469124
FDH24,OUT027,4280.747291542971
FDY11,OUT035,1319.6731700550033
FDO60,OUT049,492.55656728981467
FDL36,OUT046,1922.3550159179902
FDB37,OUT018,6314.30636633981
FDQ24,OUT046,3193.36337713174
FDI12,OUT035,995.956225090738
FDI12,OUT018,1197.4092732943072
FDC37,OUT018,1763.6979195547956
FDQ12,OUT018,4177.625854802469
FDB36,OUT049,3289.5253442939857
FDC48,OUT013,692.1272124065679
FDX48,OUT046,2753.842728482685
FDU48,OUT046,2319.3409576110985
FDR48,OUT019,163.47850548875863
FDN12,OUT049,2876.6123677517508
FDD36,OUT046,2323.723628499099
FDB12,OUT027,2989.784311219689
FDM36,OUT018,1888.9081127009229
FDP36,OUT049,592.5091304311829
FDO24,OUT017,1262.7645831830594
FDC37,OUT035,340.49000282772977
FDA36,OUT046,5488.7691575547005
FDD48,OUT013,1676.4033484539555
FDL24,OUT017,2636.3172052260034
FDA48,OUT035,3311.103386839884
FDU60,OUT049,2107.4072588593585
FDX36,OUT035,3765.5094883606344
FDF24,OUT045,1552.3077749397364
FDO48,OUT027,4196.864737878651
FDI24,OUT049,4101.990967998055
FDI48,OUT018,860.7937290156381
FDU48,OUT013,2050.6144842783233
FDV12,OUT045,923.3909434558306
FDZ23,OUT019,193.98730692605227
FDZ47,OUT019,707.5770162303172
FDD48,OUT035,2088.122625653108
FDT48,OUT035,4455.577436045346
FDL12,OUT010,156.2993404650756
FDI12,OUT027,2056.0798250013627
FDL12,OUT017,509.4280995858337
FDI36,OUT013,2674.2648590157883
FDJ48,OUT018,2834.6817009770075
FDC48,OUT049,1015.5043782517066
FDD36,OUT017,1562.7625300556774
FDC37,OUT017,2066.8158325386385
FDB60,OUT019,-76.0411291173707
FDZ47,OUT013,1885.9019581375612
FDY48,OUT017,1982.543016918881
FDX36,OUT010,352.591493499649
FDJ60,OUT010,443.2459912450229
FDO36,OUT046,913.9623462006109
FDP24,OUT018,1498.4707278335854
FDY36,OUT010,393.2203890772305
FDS60,OUT049,2010.2516883351893
FDM60,OUT035,474.06389556566296
FDZ23,OUT017,3163.6096672034328
FDN48,OUT046,1971.3220986585902
FDK60,OUT013,1840.3537532664668
FDS24,OUT019,814.8337442203058
FDO48,OUT049,2376.569428094691
FDA36,OUT049,3452.1859375466015
FDH48,OUT027,1901.700933293174
FDU36,OUT045,1520.4032658127699
FDS48,OUT018,3072.3096597649046
FDB37,OUT045,4589.63208821267
FDM12,OUT018,3248.956624258457
FDE24,OUT049,2124.4548575028766
FDV36,OUT049,2365.5232491829847
FDO60,OUT045,110.73977318187826
FDI48,OUT019,303.37186503817
FDB49,OUT035,2630.1588409388937
FDX48,OUT049,1947.5171280055852
FDY12,OUT049,821.8590321428089
FDS12,OUT049,2556.8995591423973
FDB60,OUT046,3237.4720399256857
FDY60,OUT049,3140.3001268113994
FDP48,OUT013,1974.4513400980668
FDK24,OUT013,619.1512047073988
FDO36,OUT017,3800.20771576079
FDY36,OUT018,736.2786869333679
FDZ48,OUT013,2391.0799392221097
FDJ48,OUT049,1827.3680481282313
FDZ12,OUT035,2305.8711457791787
FDY24,OUT027,1223.4411801842784
FDA23,OUT045,2768.6698506617026
FDZ12,OUT017,2577.591938816281
FDO24,OUT019,259.45377533909186
FDF12,OUT049,2334.30705711046
FDM12,OUT019,-215.27320383677647
FDX23,OUT027,1923.9031227571968
FDR24,OUT019,78.77458309385338
FDZ23,OUT046,2813.2189842147
FDZ60,OUT013,2315.194565545841
FDS36,OUT027,2964.396659632879
FDZ47,OUT045,1439.1017090253627
FDN12,OUT035,479.3026817393652
FDU60,OUT046,2695.2826716716954
FDV36,OUT035,2245.055793958043
FDX48,OUT045,3390.240011008342
FDT24,OUT017,1004.9120670012479
FDT12,OUT019,746.2853489741733
FDO48,OUT035,3803.861644219418
FDU60,OUT013,3044.510489836267
FDP36,OUT035,450.9563128395155
FDF24,OUT013,353.6242760597629
FDW23,OUT017,723.0143220442988
FDQ24,OUT027,5673.450518296335
FDI36,OUT045,2899.5660839633842
FDZ12,OUT045,2216.8527793845665
FDM12,OUT049,2773.8720294115974
FDK60,OUT027,2290.950339445173
FDP36,OUT045,526.029457476528
FDN48,OUT017,1918.3635618331791
FDA47,OUT049,3712.3853056575276
FDZ47,OUT010,267.96954882031946
FDP48,OUT019,297.4663005496234
FDK24,OUT049,772.4439299373257
FDX24,OUT017,1779.6511410000164
FDJ60,OUT018,2042.5614266245332
FDL12,OUT018,339.3027039343683
FDW36,OUT013,2627.7110800157216
FDC48,OUT018,1742.7724964156246
FDM12,OUT046,2178.6302140657554
FDV36,OUT046,2212.05385475738
FDJ12,OUT010,836.7317351130241
FDV24,OUT027,3376.9578650146123
FDV48,OUT045,1325.5534171619738
FDB12,OUT017,3157.3345636709064
FDZ59,OUT045,3305.2567922512762
FDY24,OUT046,1247.9099813424937
FDA48,OUT013,1707.6962138240267
FDP36,OUT027,1193.8337422463094
FDS60,OUT010,312.6615597767052
FDZ60,OUT045,962.7068747538594
FDZ48,OUT027,3356.3340682240496
FDQ60,OUT013,620.421898537686
FDA35,OUT045,1770.3809249952765
FDP24,OUT035,1007.7861969836644
FDG12,OUT013,1222.548698475147
FDT60,OUT049,2411.7202924209155
FDW48,OUT046,885.5222786206957
FDB49,OUT013,1145.9898963388555
FDS12,OUT045,3024.636183597253
FDC60,OUT013,1154.4792881873627
FDD48,OUT049,4027.6380320840935
FDD48,OUT017,1823.026168168361
FDX60,OUT035,318.72214844662903
FDW36,OUT045,662.9197994366211
FDV24,OUT035,1930.703320747936
FDL36,OUT035,1236.4714358358729
FDB37,OUT017,6692.714036928672
FDI36,OUT027,5578.3688805164165
FDB60,OUT027,4991.887999713015
FDI48,OUT027,1201.3994297668269
FDU48,OUT019,-334.00678143483515
FDH48,OUT035,1474.0532218605306
FDM12,OUT027,4049.2332791740464
FDE36,OUT013,3626.1677122993196
FDN48,OUT049,2050.187287361363
FDA48,OUT017,6716.279038975572
FDQ60,OUT049,2248.0625212835826
FDK48,OUT035,2114.544824024
FDH24,OUT045,2873.878006501195
FDG60,OUT017,5001.366407149784
FDM36,OUT045,3422.24794126958
FDO12,OUT045,2539.4459298368647
FDK36,OUT018,230.9231499648938
FDB49,OUT027,2841.0576082858333
FDQ12,OUT049,3573.015921092666
FDI24,OUT018,580.7997009149428
FDK60,OUT045,1061.4801365979174
FDY36,OUT013,1484.2385940209663
FDM24,OUT013,2033.679154196314
FDK36,OUT010,-13.760298971069687
FDR36,OUT018,209.78011529205332
FDV36,OUT018,1754.927258132271
FDJ12,OUT046,4254.477464155551
FDO36,OUT010,420.20818592900287
FDS48,OUT049,1123.0563010977635
FDV12,OUT019,263.2721629143912
FDH60,OUT035,3453.491515717641
FDN24,OUT018,980.9430120115677
FDV48,OUT046,1299.3524315266745
FDN60,OUT013,1913.7199140014732
FDA35,OUT013,3463.750421671022
FDH12,OUT046,2103.4138198698192
FDY11,OUT027,1658.9753332635821
FDY12,OUT027,1209.849699449549
FDS36,OUT018,2041.0862304345696
FDX48,OUT035,3549.849885595283
FDH12,OUT010,357.19562624082937
FDL12,OUT049,1873.0869273441874
FDC60,OUT035,1404.8000084858784
FDN24,OUT013,552.3227815200928
FDW60,OUT017,2849.9439873637684
FDX24,OUT010,74.94912456787779
FDM60,OUT027,954.9273373515632
FDT12,OUT049,5374.337646574195
FDI60,OUT017,568.4688694889444
FDJ36,OUT046,1708.0359986886
FDP48,OUT035,2208.6371543422924
FDY48,OUT027,2895.746596429629
FDO24,OUT018,2380.7400067961726
FDN48,OUT013,1532.1856682019602
FDE24,OUT046,1402.5352905906784
FDQ24,OUT035,3953.8315456258824
FDC48,OUT045,1079.896566701565
FDA47,OUT019,431.57728624072706
FDM60,OUT045,228.02221728429936
FDQ36,OUT027,988.9393327199829
FDL48,OUT045,95.55532483758338
FDI36,OUT035,3231.1814550949143
FDZ36,OUT010,951.2595920477814
FDH60,OUT013,3421.7142311182924
FDI60,OUT035,1563.1842378412541
FDK36,OUT049,892.519498797294
FDU12,OUT017,3247.005576718959
FDK24,OUT017,443.64409515565217
FDI24,OUT046,3580.801755197157
FDY48,OUT049,1777.4306577136979
FDX12,OUT027,5454.209927372391
FDI48,OUT046,717.9930029158763
FDX11,OUT017,3841.148810797477
FDA36,OUT035,2938.411036709973
FDI36,OUT010,238.92794232681126
FDH48,OUT046,1362.0469333279752
FDV12,OUT046,1026.5545355503905
FDO36,OUT045,2923.5078138193844
FDC37,OUT045,1414.563710482625
FDH24,OUT019,270.92330442274874
FDX23,OUT045,1152.452417171657
FDD48,OUT046,2806.961163781383
FDU48,OUT049,2664.9567240664855
FDC60,OUT018,1164.913210038566
FDX24,OUT018,1401.4942529727437
FDT36,OUT019,145.58502653264463
FDZ59,OUT017,963.5914162658662
FDO48,OUT017,4705.555245458492
FDA35,OUT035,2529.7074540198932
FDT60,OUT035,2464.0952426635663
FDH12,OUT018,1420.0837552248015
FDY60,OUT035,2494.3298236423816
FDQ60,OUT018,1541.3979105122626
FDT60,OUT010,295.658384018064
FDY60,OUT013,1800.203035590611
FDA23,OUT010,316.2660231787261
FDU24,OUT018,1753.8815665928832
FDM12,OUT013,1590.5695406440673
FDI60,OUT027,1634.45083408127
FDR36,OUT049,922.3782883844566
FDU11,OUT049,1532.7204755731523
FDU59,OUT017,2112.4387155729755
FDP23,OUT010,458.17291815729027
FDT59,OUT046,2983.854532263084
FDU35,OUT018,1808.6895019234685
FDQ47,OUT046,782.6163956052653
FDS23,OUT013,2838.3597206861923
FDS35,OUT049,1317.9213476373334
FDX35,OUT018,606.6558930516746
FDS59,OUT049,1959.5836874400597
FDY35,OUT013,939.3769632357034
FDY47,OUT019,265.5915172214602
FDN23,OUT018,2876.1914712087787
FDV23,OUT017,1773.4657516745424
FDP59,OUT017,1646.7190529921704
FDQ11,OUT010,880.5778112312346
FDX47,OUT045,2001.3647577256334
FDT11,OUT019,-280.06417534827665
FDT59,OUT019,218.68014105966404
FDV47,OUT045,1832.3129658108367
FDW35,OUT013,482.4810963849593
FDQ23,OUT046,1899.5019257463953
FDU23,OUT017,2202.906166713533
FDV11,OUT017,3269.0239181903953
FDO23,OUT046,1728.7843230776475
FDU59,OUT035,2313.2376053464604
FDP59,OUT035,1396.3948944036738
FDO11,OUT013,4767.546731828931
FDV35,OUT019,343.73834563675587
FDW59,OUT049,1228.9141647430247
FDQ59,OUT017,1588.3843801213643
FDV23,OUT049,2333.8623740968715
FDW35,OUT027,982.8848355428137
FDP59,OUT013,1977.79614686532
FDX35,OUT027,5975.300118166978
FDO11,OUT019,-804.706571495167
FDS47,OUT018,1390.5488852758017
FDT23,OUT027,2457.8486773077834
FDT47,OUT013,2129.4135379739814
FDR59,OUT018,3319.7777007359955
FDS59,OUT017,1913.639667481392
FDR35,OUT017,2534.4152192128404
FDT11,OUT013,3519.009815310428
FDV35,OUT017,2607.5198433686905
FDW47,OUT035,2733.862777437447
FDV23,OUT013,2502.241783548048
FDW11,OUT045,759.9341108237688
FDU47,OUT027,3794.4758843188283
FDW59,OUT027,2093.1467677297082
FDX59,OUT017,246.24780784087875
FDR47,OUT013,1819.9809432134984
FDQ59,OUT049,872.6474528354897
FDT59,OUT013,3818.7813678928287
FDX59,OUT049,647.4657365178393
FDS11,OUT045,4994.6572367288645
FDW11,OUT010,161.57814799896255
FDV59,OUT049,2606.579700274476
FDT47,OUT046,1722.5340761185919
FDP23,OUT019,256.04689877655505
FDW11,OUT046,702.036935434802
FDS35,OUT035,1404.6390222564912
FDP11,OUT018,3258.7079191199773
FDP11,OUT049,2894.8000467879983
FDV59,OUT027,4326.4079892922955
FDR23,OUT046,3005.7097904228103
FDS23,OUT018,2500.3506566952105
FDV11,OUT018,3924.5785795545953
FDP23,OUT017,5353.388428705831
FDW11,OUT035,1511.1109415828957
FDQ47,OUT019,163.258928519984
FDQ23,OUT045,1246.3839097878304
FDW59,OUT018,1288.2174442894188
FDS47,OUT019,-117.5865636772146
FDU11,OUT010,168.87810742982856
FDR47,OUT045,3018.9061026025784
FDX47,OUT010,418.31726310859926
FDO11,OUT045,4397.896120550918
FDQ23,OUT049,1845.3748775103113
FDV35,OUT027,4202.024433019457
FDR11,OUT046,3770.835148086022
FDU35,OUT049,1992.854290044402
FDT35,OUT035,2399.388149416408
FDW47,OUT017,1986.1395761309532
FDX59,OUT010,62.210628872419875
FDT35,OUT013,2806.7192923806956
FDP59,OUT049,1842.5862152992368
FDX47,OUT035,1479.2032206556948
FDS47,OUT010,191.7832333157046
FDV35,OUT045,2834.6995733528715
FDR11,OUT010,634.168567866893
FDT35,OUT027,3404.0923701211086
FDZ35,OUT013,1093.6692377529803
FDU47,OUT035,1927.2995114259068
FDT59,OUT010,31.787979007804324
FDQ47,OUT049,654.5058022005107
FDV11,OUT013,3579.3641413194755
FDQ11,OUT013,1727.7742303018024
FDP23,OUT049,2793.7959612963596
FDT35,OUT045,2726.572003368056
FDU59,OUT045,2911.240315275115
FDO11,OUT035,5573.378537435483
FDX35,OUT035,5321.4488163866345
FDU35,OUT035,2657.6550605498383
FDO11,OUT017,6845.30320573322
FDX59,OUT035,585.8234429350252
FDR11,OUT027,5259.598840875553
FDV59,OUT013,1816.0942511487713
FDQ11,OUT049,4197.281178436639
FDQ11,OUT045,4481.045380939632
FDZ35,OUT019,-208.55407191393738
FDR47,OUT046,2879.316356171208
FDV59,OUT017,6744.41215495076
FDR23,OUT035,3139.9847212457544
FDT11,OUT045,4044.381454716734
FDQ47,OUT013,803.7643543754109
FDX35,OUT010,765.5076262108703
FDT35,OUT046,1990.0109306828583
FDT47,OUT035,2753.5824807879967
FDU59,OUT018,2500.5251036479804
FDU47,OUT046,1753.408767785792
FDV23,OUT046,1545.4994914755616
FDU47,OUT049,2366.797221656518
FDU11,OUT046,1676.8399157333179
FDS59,OUT046,1382.4061658403698
FDV23,OUT010,262.18552405376545
FDQ11,OUT017,5032.172300228067
FDV47,OUT027,2035.8557454756924
FDS23,OUT027,3442.1307222248615
FDO23,OUT049,1252.4211068035613
FDT23,OUT017,1467.1059748791147
FDY47,OUT017,641.2870982600386
FDS11,OUT018,2727.8110082038665
FDT47,OUT010,480.8155020113213
FDT11,OUT049,2263.841791160103
FDT23,OUT035,1866.4887424659057
FDW35,OUT046,181.64284810859294
FDN23,OUT017,3690.7195953781725
FDQ59,OUT018,1280.6177434391661
FDS11,OUT013,4227.535315054636
FDW47,OUT018,2749.2113084562934
FDU11,OUT019,560.2768182262942
FDT47,OUT017,330.21410439058036
FDT47,OUT018,1696.354691273089
FDO11,OUT018,4349.457023428409
FDY35,OUT017,914.3301219318577
FDR11,OUT018,1632.8146242877046
FDX35,OUT049,3673.9006738868666
FDQ23,OUT018,2002.3927775804887
FDP59,OUT019,-174.16904871339761
FDR11,OUT017,1593.0442462582155
FDQ47,OUT027,1063.444377709774
FDU35,OUT017,1405.4242083060274
FDU35,OUT013,1274.4445468317508
FDV47,OUT046,1886.927733214911
FDR47,OUT035,3438.0396714926587
FDR47,OUT019,-92.70202402870837
FDT35,OUT049,1161.6644886115675
FDT35,OUT018,1839.8258306969628
FDV35,OUT013,2877.329540042848
FDU47,OUT013,3202.7620423012468
FDT23,OUT010,374.24033213276243
FDV11,OUT027,4376.088036424427
FDW47,OUT027,3675.2117479316203
FDY35,OUT046,1139.4265786847088
FDP23,OUT046,2910.7573552025733
FDO49,OUT018,494.8214219068607
FDO49,OUT013,554.2539963402623
FDM25,OUT046,2513.844385554022
FDN13,OUT035,844.8709491022821
FDQ49,OUT018,889.2197982334458
FDQ49,OUT010,488.34189622859094
FDN49,OUT017,265.4488927716368
FDP37,OUT035,2511.6445146973833
FDK25,OUT018,3866.216202079473
FDP01,OUT046,1129.944060494132
FDM25,OUT045,3886.900682522896
FDQ49,OUT049,1853.3675763182812
FDL25,OUT013,1406.6447606259446
FDK25,OUT046,3335.7989761468184
FDQ49,OUT035,1974.6855735301854
FDM01,OUT045,656.9637588772557
FDO01,OUT019,-436.5902137737164
FDR37,OUT019,1881.0675048660075
FDM13,OUT027,2151.9029696621724
FDQ37,OUT017,2540.8234206699635
FDO13,OUT027,3765.4122202508142
FDO13,OUT018,2185.180343115304
FDQ49,OUT045,2004.9471215243482
FDM13,OUT046,892.8413608981014
FDP01,OUT013,2347.141136218698
FDM13,OUT045,2417.298485464041
FDL13,OUT027,5955.71331403689
FDO49,OUT035,653.3665721222987
FDQ37,OUT019,982.5394328345575
FDN01,OUT017,1887.543090048856
FDP49,OUT017,678.1786798717287
FDL25,OUT027,2918.550513564689
FDL25,OUT045,1537.0968531473764
FDP37,OUT049,1691.933182371246
FDL25,OUT046,1924.881956066092
FDN49,OUT027,1119.1461502917537
FDM25,OUT019,204.40659153103297
FDN13,OUT027,3416.143183143523
FDK25,OUT013,3048.0822775346355
FDP01,OUT027,3519.272787740826
FDN25,OUT045,438.4146184990766
FDR37,OUT018,3271.505926879936
FDO01,OUT017,2873.256925282615
FDO01,OUT035,1718.492066515219
FDN25,OUT046,835.2175331296698
FDN49,OUT045,314.39869177948685
FDN13,OUT018,2069.979391222574
FDN25,OUT017,657.0429048545202
FDP37,OUT027,2994.8963424044205
FDM01,OUT049,1156.6993365377366
FDM13,OUT049,981.0196199612391
FDO49,OUT017,763.2929893540086
FDN01,OUT013,3177.1824015121283
FDN49,OUT013,984.6449152434762
FDP37,OUT010,451.295308434984
FDL13,OUT035,6035.144954723161
FDO37,OUT046,5433.960099095363
FDM25,OUT049,2905.328329014057
FDP37,OUT046,1881.813497874168
FDP49,OUT035,391.7749560269933
FDP01,OUT049,1349.5826558260014
FDP01,OUT045,2136.443941207669
FDQ37,OUT049,3975.155027973272
FDO13,OUT046,1256.7617153849799
FDQ37,OUT045,3441.9821076116186
FDN01,OUT035,2494.5259465051913
FDL13,OUT046,3992.723694955801
FDQ37,OUT018,2846.8495288500085
FDR37,OUT017,4208.289402191229
FDL25,OUT035,1244.5325884717545
FDP01,OUT018,375.4193063286816
FDN25,OUT027,1740.7454681410295
FDO01,OUT010,327.71245843197244
FDO13,OUT035,2334.1964688694416
FDO01,OUT013,609.1377059553326
FDO49,OUT045,646.1415537613639
FDS49,OUT027,2147.669946496666
FDC26,OUT013,1916.1479663452435
FDG02,OUT049,2792.279701940417
FDR49,OUT045,378.395926046848
FDZ25,OUT017,2462.6244862425206
FDX13,OUT019,1599.015208358429
FDO38,OUT010,169.84898910535435
FDM14,OUT018,662.9497998788911
FDM14,OUT013,2255.9964518332426
FDC50,OUT019,648.5253670211443
FDK26,OUT010,1096.1923445676775
FDF50,OUT018,3380.515997046119
FDI50,OUT019,1745.4769672393877
FDL26,OUT045,3631.3421241937767
FDI02,OUT027,3741.9805623294315
FDB14,OUT017,726.4720337352635
FDL26,OUT046,2882.4346851581
FDS01,OUT035,3162.370131964176
FDE02,OUT035,1421.076576705756
FDY13,OUT046,855.5915506648098
FDU01,OUT049,3615.724945151297
FDY01,OUT046,1507.5796775781068
FDG14,OUT049,2803.2457791510747
FDV49,OUT017,963.4250252721699
FDR13,OUT017,3023.624205488065
FDZ37,OUT035,557.1948112362543
FDY25,OUT035,3079.3996787869405
FDT13,OUT045,2233.653707562453
FDO50,OUT045,1234.084286317059
FDT13,OUT018,4353.983721770414
FDD14,OUT027,5079.0404510062
FDY49,OUT018,1062.221619919337
FDD14,OUT046,1987.1402534661038
FDU37,OUT019,634.7028019207569
FDL14,OUT045,2244.1124471598014
FDE38,OUT035,2946.610205588974
FDR13,OUT045,2361.7371934200974
FDB50,OUT019,-15.964509458061457
FDK50,OUT019,533.7428019731497
FDE38,OUT049,3309.0270993551185
FDS37,OUT046,1954.4926139350055
FDB14,OUT049,885.2737042106653
FDW25,OUT018,1135.3588059118733
FDC14,OUT045,196.5227412271272
FDV25,OUT046,4644.309678009311
FDV25,OUT017,3839.2984680348623
FDB02,OUT017,3981.82110985934
FDZ01,OUT019,246.68198043541724
FDH50,OUT049,3390.950939061364
FDN02,OUT018,3620.170248702889
FDY25,OUT045,2869.3404579352855
FDJ50,OUT027,1840.1475777432458
FDY01,OUT045,1774.7076268164797
FDE02,OUT018,1132.265110471439
FDK38,OUT046,2521.9248253272626
FDI50,OUT017,3126.9742355339013
FDX13,OUT035,4524.963124566266
FDU01,OUT018,1825.6589878228829
FDK50,OUT049,3308.933582973838
FDA25,OUT027,2605.947715448391
FDI02,OUT049,1650.2477338370097
FDF14,OUT013,2496.104462389992
FDJ50,OUT046,1202.371648423085
FDS01,OUT013,3615.269493265397
FDL38,OUT017,1332.3578499913156
FDG02,OUT045,3045.6463638799682
FDJ38,OUT045,3919.6854264598956
FDK38,OUT019,893.6781776555455
FDB50,OUT035,2003.8067364102756
FDB38,OUT010,487.6508123289766
FDC26,OUT027,2976.237136183133
FDE14,OUT027,3126.2356552402757
